"Date","Open","High","Low","Close","Volume"
"08/31/2023","255.98","261.18","255.05","258.08","108,861,700"
"08/30/2023","254.2","260.51","250.59","256.9","121,988,400"
"08/29/2023","238.58","257.48","237.77","257.18","134,047,600"
"08/28/2023","242.58","244.38","235.35","238.82","107,673,700"
"08/25/2023","231.31","239","230.35","238.59","106,612,200"
"08/24/2023","238.66","238.92","228.1801","230.04","99,777,430"
"08/23/2023","229.34","238.98","229.29","236.86","101,077,600"
"08/22/2023","240.25","240.82","229.55","233.19","130,597,900"
"08/21/2023","221.5512","232.1343","220.58","231.28","135,702,700"
"08/18/2023","214.12","217.58","212.36","215.49","136,276,600"
"08/17/2023","226.06","226.74","218.83","219.22","120,718,400"
"08/16/2023","228.02","233.97","225.38","225.6","112,484,500"
"08/15/2023","238.73","240.5","232.61","232.96","88,197,600"
"08/14/2023","235.7","240.66","233.75","239.76","98,595,330"
"08/11/2023","241.77","243.79","238.02","242.65","99,038,640"
"08/10/2023","245.4","251.8","243","245.34","109,498,600"
"08/09/2023","250.87","251.1","241.9","242.19","101,596,300"
"08/08/2023","247.45","250.92","245.01","249.7","96,642,180"
"08/07/2023","251.45","253.6511","242.76","251.45","111,097,900"
"08/04/2023","260.97","264.77","253.11","253.86","99,539,910"
"08/03/2023","252.04","260.49","252","259.32","97,829,550"
"08/02/2023","255.57","259.52","250.49","254.11","101,752,900"
"08/01/2023","266.26","266.47","260.25","261.07","83,645,720"
"07/31/2023","267.48","269.08","263.78","267.43","84,582,170"
"07/28/2023","259.86","267.25","258.2312","266.44","111,446,000"
"07/27/2023","268.31","269.13","255.3","255.71","103,697,300"
"07/26/2023","263.25","268.04","261.75","264.35","95,856,180"
"07/25/2023","272.38","272.9","265","265.28","112,757,300"
"07/24/2023","255.85","269.85","254.12","269.06","137,005,000"
"07/21/2023","268","268","255.8","260.02","161,796,100"
"07/20/2023","279.56","280.93","261.2","262.9","175,158,300"
"07/19/2023","296.04","299.29","289.5201","291.26","142,355,400"
"07/18/2023","290.15","295.26","286.01","293.34","112,434,700"
"07/17/2023","286.625","292.23","283.57","290.38","131,569,600"
"07/14/2023","277.01","285.3","276.31","281.38","120,062,400"
"07/13/2023","274.59","279.45","270.6","277.9","112,681,500"
"07/12/2023","276.325","276.52","271.46","271.99","95,672,140"
"07/11/2023","268.65","270.9","266.37","269.79","91,972,360"
"07/10/2023","276.47","277.52","265.1","269.61","119,425,400"
"07/07/2023","278.43","280.78","273.77","274.43","113,879,200"
"07/06/2023","278.09","279.97","272.88","276.54","120,707,400"
"07/05/2023","278.82","283.85","277.6","282.48","131,530,900"
"07/03/2023","276.49","284.25","275.11","279.82","118,999,000"
"06/30/2023","260.6","264.45","259.89","261.77","112,620,800"
"06/29/2023","258.03","260.74","253.61","257.5","131,283,400"
"06/28/2023","249.7","259.88","248.89","256.24","159,770,800"
"06/27/2023","243.24","250.3899","240.85","250.21","164,968,200"
"06/26/2023","250.065","258.37","240.7","241.05","179,990,600"
"06/23/2023","259.29","262.45","252.8","256.6","177,460,800"
"06/22/2023","250.77","265","248.25","264.61","166,875,900"
"06/21/2023","275.13","276.99","257.78","259.46","211,797,100"
"06/20/2023","261.5","274.75","261.12","274.45","165,611,200"
"06/16/2023","258.92","263.6","257.2091","260.54","167,915,600"
"06/15/2023","248.4","258.95","247.29","255.9","160,171,200"
"06/14/2023","260.17","261.57","250.5","256.79","170,575,500"
"06/13/2023","253.51","259.68","251.34","258.71","162,384,300"
"06/12/2023","247.94","250.97","244.59","249.83","150,740,500"
"06/09/2023","249.07","252.42","242.02","244.4","200,242,400"
"06/08/2023","224.22","235.23","223.01","234.86","164,489,700"
"06/07/2023","228","230.8296","223.2","224.57","185,710,800"
"06/06/2023","216.14","221.91","212.53","221.31","146,911,600"
"06/05/2023","217.8","221.29","214.52","217.61","151,143,100"
"06/02/2023","210.15","217.25","209.752","213.97","164,398,400"
"06/01/2023","202.59","209.8","199.37","207.52","148,029,900"
"05/31/2023","199.78","203.95","195.12","203.93","150,711,700"
"05/30/2023","200.1","204.48","197.53","201.16","128,818,700"
"05/26/2023","184.62","198.6","184.53","193.17","162,061,500"
"05/25/2023","186.54","186.78","180.58","184.47","96,870,720"
