"Date","Open","High","Low","Close","Volume"
"2011-07-13","1.8953","1.9353","1.8600","1.9093","15989122"
"2011-07-14","1.9020","1.9307","1.8167","1.8407","17383956"
"2011-07-15","1.8527","1.8553","1.8267","1.8387","10634305"
"2011-07-18","1.8227","1.8300","1.7753","1.8153","12778149"
"2011-07-19","1.8387","1.8740","1.8360","1.8593","15390712"
"2011-07-20","1.8667","2.0293","1.8533","1.9127","45724387"
"2011-07-21","1.9273","1.9440","1.8733","1.9133","15171082"
"2011-07-22","1.9133","1.9693","1.9034","1.9527","8752016"
"2011-07-25","1.9340","1.9500","1.8960","1.8993","10099360"
"2011-07-26","1.8873","1.9180","1.8647","1.8667","11407974"
"2011-07-27","1.9000","1.9000","1.8340","1.8427","14376038"
"2011-07-28","1.8400","1.9033","1.8360","1.8780","14079428"
"2011-07-29","1.8533","1.8933","1.8333","1.8780","14221898"
"2011-08-01","1.9113","1.9320","1.8807","1.9180","17472321"
"2011-08-02","1.9127","1.9467","1.8180","1.8227","23238288"
"2011-08-03","1.8333","1.8553","1.7557","1.8133","26853137"
"2011-08-04","1.7673","1.7927","1.6447","1.6500","45963472"
"2011-08-05","1.6660","1.6920","1.5220","1.6160","29465625"
"2011-08-08","1.5400","1.6293","1.5400","1.5760","39127060"
"2011-08-09","1.6100","1.6967","1.5800","1.6707","20000720"
"2011-08-10","1.6960","1.6960","1.5753","1.5880","23462193"
"2011-08-11","1.6027","1.7167","1.6000","1.6867","12448254"
"2011-08-12","1.7067","1.8093","1.6907","1.7540","15135292"
"2011-08-15","1.7747","1.7833","1.7287","1.7487","11078574"
"2011-08-16","1.7420","1.7693","1.7220","1.7400","8065316"
"2011-08-17","1.7593","1.7767","1.7007","1.7220","9613825"
"2011-08-18","1.6667","1.6767","1.5647","1.6173","15848527"
"2011-08-19","1.5907","1.6147","1.4667","1.4867","20626145"
"2011-08-22","1.5407","1.5867","1.4453","1.4633","14791208"
"2011-08-23","1.4620","1.5407","1.4333","1.5307","13034513"
